id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
47350_00001		C15H14O6	12.07		missing SMILES		
47350_00002		C22H18O10	15.99		missing SMILES		
47350_00003		C15H14O7	8.675		missing SMILES		
47350_00004		C7H6O4	7.75		missing SMILES		
47350_00005		C7H6O3	10.6		missing SMILES		
47350_00006		C20H22O9	14.2		missing SMILES		
47350_00007		C13H12O9	8.53		missing SMILES		
47350_00008		C20H22O8	18.42		missing SMILES		
47350_00009		C14H12O3	20.37		missing SMILES		
47350_00010		C14H6O8	20.34		missing SMILES		
47350_00011		C15H14O5	15.55		missing SMILES		
47350_00012		C9H6O4	12.19		missing SMILES		
47350_00013		C14H14O9	11.84		missing SMILES		
47350_00014		C16H18O10	12.6		missing SMILES		
47350_00015		C16H14O6	21.13		missing SMILES		
47350_00016		C22H22O12	20.53		missing SMILES		
47350_00017		C28H32O16	20.59		missing SMILES		
47350_00018		C21H24O9	17.61		missing SMILES		
47350_00019		C21H20O11	20.285		missing SMILES		
47350_00020		C27H30O15	20.49		missing SMILES		
47350_00021		C21H20O11	19.73		missing SMILES		
47350_00022		C8H8O5	10.73		missing SMILES		
47350_00023		C15H10O8	20.46		missing SMILES		
47350_00024		C15H12O5	21.04		missing SMILES		
47350_00025		C21H22O10	19.53		missing SMILES		
47350_00026		C9H8O3	19.73		missing SMILES		
47350_00027		C25H24O13	20.67482759		missing SMILES		
47350_00028		C28H22O6	17.57		missing SMILES		
47350_00029		C21H24O10	20.21		missing SMILES		
47350_00030		C15H14O5	21.06		missing SMILES		
47350_00031		C14H12O4	17.88		missing SMILES		
47350_00032		C30H26O12	9.66		missing SMILES		
47350_00033		C16H16O3	21.89		missing SMILES		
47350_00034		C27H30O17	17.38		missing SMILES		
47350_00035		C21H18O13	19.91		missing SMILES		
47350_00036		C21H20O12	20.37		missing SMILES		
47350_00037		C15H10O10S	20.11		missing SMILES		
47350_00038		C21H20O12	20		missing SMILES		
47350_00039		C27H30O16	20		missing SMILES		
47350_00040		C9H10O5	13.78		missing SMILES		
47350_00041		C15H12O7	16.82		missing SMILES		
47350_00042		C13H12O8	10.7		missing SMILES		
47350_00043		C21H24O10	20.75625		missing SMILES		
47350_00044		C17H14O7	20.59		missing SMILES		
47350_00045		C27H32O14	21.96		missing SMILES		
47350_00046		C10H13NO2	19.35		missing SMILES		
47350_00047		C7H12O7	19.86		missing SMILES		
47350_00048		C11H14O5	2.43		missing SMILES		
47350_00049		C26H25O14	19.30034483		missing SMILES		
47350_00050		C56H42O12	18.3487931		missing SMILES		
47350_00051		C22H18O11	12.73		missing SMILES		
47350_00052		C7H6O4	7.77		missing SMILES		
47350_00053		C24H20O9	17.82		missing SMILES		
47350_00054		C9H10O5	15.16		missing SMILES		
47350_00055		C56H42O12	10.7		missing SMILES		
47350_00056		C6H14N4O2	1.2425		missing SMILES		
47350_00057		C4H6O6	1.46		missing SMILES		
47350_00058		C7H12O6	1.58		missing SMILES		
47350_00059		C4H6O4	3.94		missing SMILES		
47350_00060		C3H6O2	3.95		missing SMILES		
47350_00061		C5H8O5	4.02		missing SMILES		
47350_00062		C9H11NO3	4.28		missing SMILES		
47350_00063		C6H13NO2	4.44		missing SMILES		
47350_00064		C5H14NO	1.294827586		missing SMILES		
47350_00065		C5H11NO2	1.340862069		missing SMILES		
47350_00066		C5H11NO2	1.340862069		missing SMILES		
47350_00067		C5H9NO2	1.510344828		missing SMILES		
47350_00068		C10H17N3O6S	1.696551724		missing SMILES		
47350_00069		C4H4N2O2	2.337068966		missing SMILES		
47350_00070		C5H4N4O3	3.442586207		missing SMILES		
47350_00071		C5H4N4O2	3.966206897		missing SMILES		
