id	bits.on
draft_22951_00028	20,51,94,107,141,153,174,207,217,231,270,294,341,353,360,481,504,508,516,545,552,626,643,727,771,776,778,789,986
draft_22951_00029	20,44,57,71,72,75,76,89,109,123,134,153,173,177,235,266,276,297,341,347,351,359,406,432,442,443,461,481,487,508,528,550,555,588,612,626,627,669,692,719,721,727,743,745,763,795,810,843,871,881,897,898,899,918,936,954,968,974,1005
draft_22951_00032	20,73,198,207,335,377,390,405,481,508,516,617,620,626,727,879,917
draft_22951_00056	15,141,153,207,223,278,316,323,326,390,481,508,533,538,562,576,612,626,684,701,706,818,850,882,967
draft_22951_00062	20,94,107,141,161,207,229,241,346,481,508,626,727,802,815,948
draft_22951_00063	20,207,244,341,347,468,481,508,549,601,656,727,802,902,923,948
draft_22951_00070	15,89,134,236,245,298,430,461,481,508,687,772,813,906,924,953,1012
draft_22951_00155	15,32,79,89,231,233,237,260,662,687,772,948
draft_22951_00158	9,66,144,278,374,456,508,514,580,627,670,850,856,881,948
draft_22951_00204	15,51,57,89,156,204,213,257,297,298,320,436,437,456,475,566,626,683,770,772,776,796,815,818,878,923,932,936,947,948,964,972,983,988,1012
draft_22951_00207	20,24,89,103,134,245,266,277,281,430,441,443,490,508,524,626,656,727,762,894,902,915,936,942,948
draft_22951_00216	15,72,89,104,122,153,199,227,342,347,461,481,505,511,540,565,600,687,711,948,994
draft_22951_00247	13,15,20,62,89,94,96,134,145,146,153,167,175,221,237,270,358,367,371,421,430,451,463,487,508,524,550,588,612,626,645,656,677,727,772,822,889,968,980,1018
draft_22951_00248	15,89,144,233,388,558,659,662,670,696,772,776,779,883,948,1009
draft_22951_00253	15,32,89,133,164,231,260,276,280,349,438,644,662,672,696,776,825,948
draft_22951_00290	15,39,89,101,153,175,232,237,270,289,311,326,355,368,371,428,457,473,478,524,596,626,674,677,747,772,807,811,822,952,954,996
draft_22951_00314	15,20,23,116,134,175,220,227,228,229,245,246,259,298,310,341,351,381,383,405,427,461,468,481,506,508,513,524,534,539,555,612,615,641,651,662,751,766,796,837,868,928,948,955,968,983,1003,1012,1013
draft_22951_00356	52,96,134,141,145,153,165,167,199,207,223,326,421,481,487,550,564,576,601,626,647,909,968,1003
draft_22951_00370	47,89,134,185,194,198,245,260,264,299,321,428,481,487,495,508,515,520,524,550,662,663,677,716,767,781,806,808,828,834,887,912,943,948,968,979,1021
draft_22951_00394	23,73,89,124,134,176,189,239,245,264,267,294,316,325,335,345,375,385,388,405,446,459,478,511,540,550,576,585,614,626,640,662,665,716,806,818,914,955,968
draft_22951_00404	20,34,71,134,207,270,350,437,508,516,550,620,626,628,640,647,676,712,717,727,733,739,762,797,802,832,841,947,948,960,968
draft_22951_00411	29,34,134,153,167,207,227,279,390,474,487,515,516,527,550,586,626,640,647,658,659,667,676,781,792,802,845,867,904,940,948,968,998,1007
draft_22951_00462	20,39,50,53,87,89,131,134,153,168,170,220,224,244,245,264,283,382,391,458,464,489,506,508,662,723,727,762,857,942,948,981,994
draft_22951_00463	15,20,25,40,54,79,82,89,97,119,129,134,150,166,175,220,226,233,237,245,373,405,436,461,485,503,508,524,529,534,552,555,589,593,654,662,681,717,727,758,772,809,821,836,843,895,900,933,949,968,995
draft_22951_00478	1,15,32,89,96,134,152,153,156,170,182,231,309,311,326,327,408,433,487,498,540,550,577,585,607,626,646,662,718,844,948,968,1018
draft_22951_00484	15,20,58,89,97,111,153,175,234,237,239,248,270,341,364,371,481,508,516,517,524,530,534,605,630,683,727,772,809,820,828,841,859,873,908,919,942,948,979,994,1024
draft_22951_00520	15,20,24,26,45,59,84,89,94,108,116,117,128,134,141,192,207,245,270,311,350,351,364,371,396,409,481,492,499,508,516,524,544,547,550,593,603,614,618,620,624,626,636,640,647,676,677,727,733,766,773,792,833,851,864,904,917,947,948,968,1007
draft_22951_00549	15,89,134,217,245,259,260,275,287,290,297,302,418,437,491,500,508,612,648,704,754,912,948,968,983,1022
draft_22951_00560	15,18,20,79,89,94,134,153,190,245,264,356,381,429,480,497,508,510,530,547,553,562,605,623,626,651,662,671,683,719,726,727,752,773,778,789,795,803,827,835,946,972,976,981,1008
draft_22951_00585	20,39,49,56,61,63,77,94,107,138,153,207,255,366,401,481,496,508,516,527,626,649,655,687,727,739,802,829,948,981
draft_22951_00590	20,36,78,94,107,153,207,254,292,326,400,487,490,508,516,626,654,727,739,762,797,802,826,943,948,960,994
draft_22951_00604	6,53,59,64,103,117,131,134,136,153,169,172,191,207,226,245,254,326,349,353,382,390,417,452,484,506,508,509,516,527,531,541,550,568,603,626,627,640,662,721,766,802,814,817,827,828,843,871,948,956,967,968,969,994,999
draft_22951_00605	4,20,26,63,89,121,153,164,178,187,198,213,214,223,259,260,278,294,296,311,319,321,326,341,347,355,364,373,382,387,395,445,460,461,466,467,481,486,493,500,508,516,535,538,567,605,613,615,626,629,642,675,688,711,719,744,745,756,765,773,774,788,813,827,850,855,867,881,895,914,917,936,948,955,974,998,1008
draft_22951_00627	15,20,66,88,89,104,111,134,153,175,185,220,237,260,263,303,309,333,347,361,388,396,404,420,454,467,508,515,517,524,534,542,545,550,589,590,613,623,656,667,686,701,727,752,765,772,788,802,851,855,903,908,910,929,933,948,954,964,968,973,986,994,1006
draft_22951_00629	96,134,145,167,207,208,316,421,487,516,550,596,601,647,676,712,802,841,898,948,968,994,998
draft_22951_00660	11,15,26,29,89,134,145,183,209,260,307,343,499,515,522,536,538,550,583,600,626,631,640,662,676,759,762,783,788,795,797,819,849,853,858,871,908,947,948,968
draft_22951_00673	13,15,20,56,62,77,89,94,96,107,134,145,153,175,178,190,207,225,231,237,267,270,284,307,367,371,384,389,397,415,421,424,429,436,458,469,477,481,487,504,508,516,523,524,540,550,582,588,606,621,626,645,655,677,727,772,776,778,786,807,814,826,827,851,868,913,935,968,984
draft_22951_00693	1,11,15,26,42,44,58,77,89,127,128,130,134,140,153,175,182,222,224,226,229,231,245,260,267,269,283,291,302,353,373,374,394,398,423,430,461,485,501,502,508,512,524,534,540,550,555,557,565,592,595,626,640,666,678,681,718,727,774,778,806,850,853,855,857,940,946,951,968,985,1022
draft_22951_00694	1,11,15,26,42,44,46,50,58,89,109,130,134,153,159,173,175,208,210,217,222,226,231,253,285,291,318,332,353,374,401,430,437,444,461,473,478,501,512,524,534,537,540,550,557,561,592,620,626,631,640,666,705,717,743,764,774,838,840,850,857,893,905,936,946,968,970,994,1014
draft_22951_00740	62,63,81,96,110,116,119,134,145,155,177,195,208,228,245,259,272,363,385,393,405,436,487,495,516,550,559,577,585,604,616,639,640,642,712,725,729,748,791,805,825,829,832,850,868,876,909,926,930,935,949,968,997
draft_22951_00754	7,15,20,58,60,61,72,85,87,89,90,140,153,166,184,213,245,260,287,288,311,315,316,326,329,330,338,339,347,354,362,371,396,410,414,415,418,442,461,467,471,481,488,490,510,516,558,562,598,626,636,687,719,727,735,754,792,795,849,861,897,900,903,914,927,936,948,949,964,974,975,996,998,1008,1009
draft_22951_00755	1,4,11,15,26,42,89,134,140,175,182,191,201,222,245,260,267,269,286,302,347,353,373,394,398,423,452,461,485,496,508,512,524,534,540,549,550,555,565,595,626,666,681,686,705,709,724,727,768,778,806,830,838,843,853,855,898,906,940,943,948,951,954,968,989,1016,1022
draft_22951_00756	1,15,26,84,89,96,134,149,174,221,234,241,251,266,303,309,325,370,405,406,425,437,457,458,459,469,471,473,485,487,498,540,550,580,585,605,626,630,653,725,739,817,819,835,855,894,908,935,944,951,968
draft_22951_00761	20,82,94,107,182,188,207,438,485,508,524,583,617,626,657,719,727,769,802,948,968
draft_22951_00789	9,49,53,134,153,172,178,207,226,270,281,350,360,366,389,390,464,499,516,550,620,625,626,640,647,674,676,733,781,786,802,835,879,894,947,948,956,968,970,995,1019
draft_22951_00801	15,20,89,94,95,96,99,118,134,145,151,185,212,266,272,298,307,345,347,355,359,394,421,445,460,466,478,487,508,524,550,551,580,626,653,677,686,692,709,714,727,729,762,772,849,877,886,897,898,933,948,964,968
draft_22951_00835	15,26,29,31,41,44,55,73,89,96,98,134,137,142,152,153,160,175,185,188,212,222,227,237,267,277,303,380,419,429,430,455,464,465,473,478,515,524,526,533,534,545,550,604,622,626,640,673,676,687,769,772,812,827,855,879,886,903,908,936,947,968,1016,1024
draft_22951_00853	20,78,134,250,252,259,299,447,458,475,481,487,493,515,522,533,540,550,586,716,762,781,808,834,887,897,898,948,968,979
draft_22951_00855	1,11,15,26,42,44,89,113,124,128,134,152,153,160,175,182,185,209,218,222,224,226,231,237,267,268,269,291,343,353,374,380,394,398,405,413,430,444,461,465,478,512,524,530,534,540,550,553,555,592,595,606,626,637,640,645,673,772,774,827,855,905,936,937,941,951,968,979,1016
draft_22951_00868	1,9,11,15,28,46,57,69,89,108,117,134,152,153,168,175,226,244,264,272,321,328,353,367,374,399,408,432,487,498,504,507,523,524,534,538,540,550,569,599,626,640,654,666,683,686,747,770,781,933,941,948,949,968,1019,1022
draft_22951_00902	1,16,20,23,47,53,89,96,134,153,156,188,204,220,221,223,240,245,253,259,272,279,307,352,366,380,398,405,407,414,419,449,462,487,496,503,506,508,516,530,542,550,571,628,642,654,662,687,714,727,741,752,786,794,797,816,832,836,842,850,907,935,944,948,968,1008
draft_22951_00919	15,26,62,84,89,134,145,176,183,201,206,209,260,283,307,353,470,484,487,499,504,550,583,594,626,630,640,662,759,781,804,819,828,853,901,908,943,948,968
draft_22951_00937	20,62,96,134,141,145,153,168,189,207,230,270,347,384,408,421,449,481,487,505,508,520,528,544,550,558,588,663,727,761,776,863,931,948,968,989,994
draft_22951_00954	15,20,81,88,89,107,116,131,134,153,174,204,210,237,238,245,258,264,272,278,279,300,310,337,357,366,372,381,385,393,405,445,473,475,487,508,516,524,530,550,564,585,662,677,683,712,714,718,725,727,729,744,760,772,788,806,822,825,835,855,913,968,988,997
