id	bits.on
draft_22951_00028	10,11,15,16,19,20,284,285,286,287,300,309,333,339,341,345,346,352,353,366,376,381,391,393,394,407,421,441,444,452,453,529,536,537,541,561,567,580,583,593,614,618,638,644,646,647,655,681,684,685,692,696,703
draft_22951_00029	10,11,12,15,16,19,20,21,22,31,144,147,179,181,182,256,257,284,285,286,287,300,309,315,333,334,340,342,345,346,347,352,353,356,357,359,366,367,371,372,373,374,377,385,388,391,392,394,397,398,404,406,407,408,412,417,419,421,426,431,435,436,440,442,443,444,446,447,448,450,452,454,457,465,471,473,483,491,492,494,496,503,507,517,521,522,524,525,531,536,539,540,541,546,547,550,553,554,556,557,565,567,568,571,572,577,578,579,580,581,583,585,586,593,594,596,598,600,601,604,608,609,613,614,615,618,619,624,625,629,634,635,638,639,640,641,657,658,660,661,663,664,665,666,669,672,673,674,678,679,681,682,683,684,685,691,692,696,703,709,710
draft_22951_00032	10,11,15,16,17,19,20,21,284,285,286,287,300,301,309,333,340,342,345,347,352,353,367,394,395,399,407,421,440,444,452,463,511,516,519,523,536,538,567,568,572,580,582,593,618,639,643,644,664,686,688
draft_22951_00056	10,11,15,19,20,21,284,285,286,287,300,309,333,339,340,341,342,345,346,347,352,353,366,367,394,407,421,437,444,449,529,536,537,567,568,572,580,582,583,593,618,638,639,640,643,644,664,680,681,682,683,684,685,687,690,692,693,694,704,706
draft_22951_00062	10,11,15,19,20,284,285,286,287,300,309,333,334,336,339,341,345,346,352,353,366,375,381,394,407,421,441,444,453,529,536,537,567,580,618,638,644,709
draft_22951_00063	10,11,15,19,20,284,285,286,287,300,333,340,342,345,347,352,353,367,375,394,406,421,440,444,452,463,536,538,567,606,616,644
draft_22951_00070	10,11,15,19,20,144,147,284,285,286,287,300,333,339,341,345,346,347,352,353,366,367,381,394,406,421,441,444,453,529,536,537,567,580,615,616,638,639,644,687
draft_22951_00155	10,11,15,144,146,147,284,285,286,300,333,339,341,345,346,352,366,375,391,393,394,529,541,583,593,614,644,657,684
draft_22951_00158	10,11,15,19,284,285,286,287,333,345,346,347,352,353,366,367,375,391,392,417,421,435,437,442,444,446,447,449,450,503,517,541,554,600,673,674
draft_22951_00204	10,11,12,15,19,179,180,181,182,186,188,189,193,284,285,286,287,309,333,334,336,339,340,341,342,345,346,347,352,353,366,367,375,391,392,407,541,572,583,593,614,618,638,657,680,681,683,684,689,690,697,698,699,700,709,710,711,713,785,799,822
draft_22951_00207	10,11,15,16,19,20,21,144,146,147,284,285,286,287,309,345,346,347,352,353,366,367,375,376,391,392,407,421,440,444,452,541,561,567,568,570,572,612,637,646,647,648,651,655,657,660,664
draft_22951_00216	10,11,15,19,20,144,147,284,285,286,287,300,333,339,340,341,342,345,346,347,352,353,366,367,375,394,406,529,567,568,615,616,638,639,640,644,663
draft_22951_00247	10,11,12,15,19,20,144,146,147,179,180,256,284,285,286,287,309,333,334,339,341,345,346,352,353,356,357,366,371,372,381,385,391,392,407,417,421,431,435,441,442,444,447,453,465,471,491,517,521,525,536,537,541,550,553,557,565,567,571,579,580,583,585,593,596,600,603,604,608,609,614,618,619,629,634,635,638,641,657,660,661,665,669,678,679,680,681,684,685,689,692,696,703,709,710,711
draft_22951_00248	10,11,15,16,144,146,147,284,285,286,300,333,339,341,345,346,352,366,375,391,392,393,394,529,541,570,593,594,612,614,644,657
draft_22951_00253	10,11,15,16,179,181,182,284,285,286,300,333,339,341,345,346,352,366,375,391,393,394,529,541,570,612,614,644,657
draft_22951_00290	10,11,12,15,19,179,181,182,186,188,189,284,285,286,287,309,333,334,336,339,341,345,346,347,352,353,366,367,391,392,407,541,572,583,593,614,618,638,639,657,680,681,684,689,690,692,697,698,699,703,709,710,711
