id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_22951_00001		C3H12NO9P3	1.081		missing SMILES		
draft_22951_00002		C6H20N2O12P4	1.091		missing SMILES		
draft_22951_00003		C7H19NO6P2	1.131		missing SMILES		
draft_22951_00004		C4H5N3O5S	1.223		missing SMILES		
draft_22951_00005		C3H3N3O3	1.253		missing SMILES		
draft_22951_00006		C6H4N2O4	1.273		missing SMILES		
draft_22951_00007		C3H10NO3P	1.3030000000000002		missing SMILES		
draft_22951_00008		C5H4N2O4	1.334		missing SMILES		
draft_22951_00009		C3H6N2O3	1.416		missing SMILES		
draft_22951_00010		C6H7NO3S	1.4549999999999998		missing SMILES		
draft_22951_00011		C10H17N2O4P	1.457		missing SMILES		
draft_22951_00012		C5H9N3O4	1.466		missing SMILES		
draft_22951_00013		C4H4N2O2	1.467		missing SMILES		
draft_22951_00014		C7H8NO2	1.488		missing SMILES		
draft_22951_00015		C10H20N2O7	1.546		missing SMILES		
draft_22951_00016		C6H6N2O4	1.556		missing SMILES		
draft_22951_00017		C10H9NO5S	1.557		missing SMILES		
draft_22951_00018		C6H6N2O4	1.567		missing SMILES		
draft_22951_00019		C7H7N3O5	1.602		missing SMILES		
draft_22951_00020		C2H5NO	1.607		missing SMILES		
draft_22951_00021		C12H19N4O7P2S	1.6235		missing SMILES		
draft_22951_00022		C14H27N4O11P2	1.633		missing SMILES		
draft_22951_00023		C4H4N2O3	1.638		missing SMILES		
draft_22951_00024		C6H13NO5	1.655		missing SMILES		
draft_22951_00025		C6H13NO4S	1.665		missing SMILES		
draft_22951_00026		C7H15NO4S	1.666		missing SMILES		
draft_22951_00027		C5H12NO2	1.6700000000000002		missing SMILES		
draft_22951_00030		C7H13N3O3	1.911		missing SMILES		
draft_22951_00031		C2H3N3	1.934		missing SMILES		
draft_22951_00033		C8H18N2O4S	1.945		missing SMILES		
draft_22951_00034		C3H8N2O	1.962		missing SMILES		
draft_22951_00035		C5H4N2O2	1.996		missing SMILES		
draft_22951_00036		C3H5NO2	2.05		missing SMILES		
draft_22951_00037		C2H3N3	2.099		missing SMILES		
draft_22951_00038		C3H7NO	2.103		missing SMILES		
draft_22951_00039		C5H9N3O4	2.1085000000000003		missing SMILES		
draft_22951_00040		C8H11N3O4	2.123		missing SMILES		
draft_22951_00041		C2H4N4	2.161		missing SMILES		
draft_22951_00042		C6H6N2O4	2.174		missing SMILES		
draft_22951_00043		C4H9N3OS	2.174		missing SMILES		
draft_22951_00044		C10H8N2O6S	2.184		missing SMILES		
draft_22951_00045		C7H7NO4	2.235		missing SMILES		
draft_22951_00046		C4H5N3OS	2.245		missing SMILES		
draft_22951_00047		C3H7NO	2.3018		missing SMILES		
draft_22951_00048		C4H10N2O2	2.3680000000000003		missing SMILES		
draft_22951_00049		C6H13NO3	2.4896666670000003		missing SMILES		
draft_22951_00050		C7H12N3O	2.503		missing SMILES		
draft_22951_00051		C4H8N4O	2.579		missing SMILES		
draft_22951_00052		C3H9NO	2.61		missing SMILES		
draft_22951_00053		C6H5N3O2	2.619		missing SMILES		
draft_22951_00054		C4H6N4O	2.721		missing SMILES		
draft_22951_00055		C5H7N3O	2.751		missing SMILES		
draft_22951_00057		C3H9NO2	2.769		missing SMILES		
draft_22951_00058		C5H10N2O	2.7920000000000003		missing SMILES		
draft_22951_00059		C5H11NO	2.801		missing SMILES		
draft_22951_00060		C5H11NO2	2.846		missing SMILES		
draft_22951_00061		C4H11NO3	2.859		missing SMILES		
draft_22951_00064		C3H4N2	2.948		missing SMILES		
draft_22951_00065		C5H6N2O	2.971		missing SMILES		
draft_22951_00066		C5H6N2O	2.984		missing SMILES		
draft_22951_00067		C4H7N	2.994		missing SMILES		
draft_22951_00068		C7H5NO4	3.031		missing SMILES		
draft_22951_00069		C6H9NO3	3.0420000000000003		missing SMILES		
draft_22951_00071		C7H5NO4	3.124		missing SMILES		
draft_22951_00072		C4H11NO	3.244		missing SMILES		
draft_22951_00073		C5H9NO3	3.249		missing SMILES		
draft_22951_00074		C4H11NO2	3.285		missing SMILES		
draft_22951_00075		C6H8N2O3	3.29		missing SMILES		
draft_22951_00076		C4H5N3	3.445		missing SMILES		
draft_22951_00077		C6H10N2O2	3.45		missing SMILES		
draft_22951_00078		C4H7N	3.507		missing SMILES		
draft_22951_00079		C8H9N3O2	3.538		missing SMILES		
draft_22951_00080		C3H7NO2	3.64		missing SMILES		
draft_22951_00081		C4H6N2	3.756		missing SMILES		
draft_22951_00082		C7H9N2O	3.756		missing SMILES		
draft_22951_00083		C4H11NO	3.824		missing SMILES		
draft_22951_00084		C7H9N3O	3.953		missing SMILES		
draft_22951_00085		C4H7NO2	3.959		missing SMILES		
draft_22951_00086		C5H11NO	3.96		missing SMILES		
draft_22951_00087		C6H4N4O2	3.9735		missing SMILES		
draft_22951_00088		C4H9NO3	3.999		missing SMILES		
draft_22951_00089		C5H9N	4.218		missing SMILES		
draft_22951_00090		C5H11NO	4.239		missing SMILES		
draft_22951_00091		C3H6N6	4.249		missing SMILES		
draft_22951_00092		C6H7NO	4.284000000000001		missing SMILES		
draft_22951_00093		C7H8N2O2	4.34		missing SMILES		
draft_22951_00094		C5H9N	4.346		missing SMILES		
draft_22951_00095		C9H13NO3	4.357		missing SMILES		
draft_22951_00096		C4H11NO	4.391		missing SMILES		
draft_22951_00097		C7H11N3O3	4.398		missing SMILES		
draft_22951_00098		C6H5NO3	4.421		missing SMILES		
draft_22951_00099		C6H8N2	4.5120000000000005		missing SMILES		
draft_22951_00100		C4H6N2	4.532		missing SMILES		
draft_22951_00101		C4H4N2	4.5840000000000005		missing SMILES		
draft_22951_00102		C4H11NO	4.634		missing SMILES		
draft_22951_00103		C2H6N2S	4.664		missing SMILES		
draft_22951_00104		C4H9NO	4.712999999999999		missing SMILES		
draft_22951_00105		C3H7NO2	4.725		missing SMILES		
draft_22951_00106		C5H5NO	4.79		missing SMILES		
draft_22951_00107		C3H9N	4.826		missing SMILES		
draft_22951_00108		C5H5NO	4.895		missing SMILES		
draft_22951_00109		C4H11N	5.174		missing SMILES		
draft_22951_00110		C7H7NO3	5.268		missing SMILES		
draft_22951_00111		C3H6N2S	5.281000000000001		missing SMILES		
draft_22951_00112		C6H5N5	5.351		missing SMILES		
draft_22951_00113		C10H10N2O5S	5.362		missing SMILES		
draft_22951_00114		C8H10N2O	5.382000000000001		missing SMILES		
draft_22951_00115		C7H8N2O4	5.4030000000000005		missing SMILES		
draft_22951_00116		C5H13NO	5.444		missing SMILES		
draft_22951_00117		C5H7N3	5.454		missing SMILES		
draft_22951_00118		C6H11NO2	5.485		missing SMILES		
draft_22951_00119		C11H9NO2	5.495		missing SMILES		
draft_22951_00120		C11H9NO2	5.506		missing SMILES		
draft_22951_00121		C6H8N4O4	5.513999999999999		missing SMILES		
draft_22951_00122		C5H5N5	5.517		missing SMILES		
draft_22951_00123		C10H13N3O2	5.526		missing SMILES		
draft_22951_00124		C5H6N2	5.537000000000001		missing SMILES		
draft_22951_00125		C5H11N	5.541		missing SMILES		
draft_22951_00126		C5H11NO	5.5755		missing SMILES		
draft_22951_00127		C9H11N3O2	5.589		missing SMILES		
draft_22951_00128		C9H11NO2	5.595		missing SMILES		
draft_22951_00129		C7H9NO2	5.64		missing SMILES		
draft_22951_00130		C4H6N2	5.6610000000000005		missing SMILES		
draft_22951_00131		C7H9N3O2	5.682		missing SMILES		
draft_22951_00132		C5H6N2	5.682		missing SMILES		
draft_22951_00133		C4H11NO	5.718		missing SMILES		
draft_22951_00134		C5H11N	5.734		missing SMILES		
draft_22951_00135		C7H7N3	5.744		missing SMILES		
draft_22951_00136		C6H13NO2	5.7780000000000005		missing SMILES		
draft_22951_00137		C8H17NO3S	5.7780000000000005		missing SMILES		
draft_22951_00138		C9H15N5O	5.797		missing SMILES		
draft_22951_00139		C4H5N3	5.826		missing SMILES		
draft_22951_00140		C4H11N	5.848		missing SMILES		
draft_22951_00141		C6H8N2	5.848		missing SMILES		
draft_22951_00142		C14H9NO2	5.8580000000000005		missing SMILES		
draft_22951_00143		C5H13N	5.867999999999999		missing SMILES		
draft_22951_00144		C6H6N4	5.869		missing SMILES		
draft_22951_00145		C10H11NO4	5.878		missing SMILES		
draft_22951_00146		C5H7N3O3	5.899		missing SMILES		
draft_22951_00147		C4H4N2	5.91		missing SMILES		
draft_22951_00148		C5H6N2	5.91		missing SMILES		
draft_22951_00149		C8H15NO2	5.919		missing SMILES		
draft_22951_00150		C8H12N2O2	5.92		missing SMILES		
draft_22951_00151		C7H8N2O2	5.930000000000001		missing SMILES		
draft_22951_00152		C7H14N2O2	5.949		missing SMILES		
draft_22951_00153		C7H16N	5.95		missing SMILES		
draft_22951_00154		C14H13NO2	5.961		missing SMILES		
draft_22951_00156		C5H7N3O	5.97		missing SMILES		
draft_22951_00157		C8H9NO2	5.972		missing SMILES		
draft_22951_00159		C4H8N2S	5.981		missing SMILES		
draft_22951_00160		C5H5N5	5.982		missing SMILES		
draft_22951_00161		C2H8N2	5.992999999999999		missing SMILES		
draft_22951_00162		C7H17NO	6.011		missing SMILES		
draft_22951_00163		C8H13N3O3	6.011		missing SMILES		
draft_22951_00164		C6H7N	6.013		missing SMILES		
draft_22951_00165		C9H11NO2	6.013		missing SMILES		
draft_22951_00166		C6H5N3	6.034000000000001		missing SMILES		
draft_22951_00167		C10H13N5O5	6.053		missing SMILES		
draft_22951_00168		C10H11N3O5	6.061000000000001		missing SMILES		
draft_22951_00169		C11H14N2O3	6.071		missing SMILES		
draft_22951_00170		C8H8N4	6.081		missing SMILES		
draft_22951_00171		C5H8N2	6.096		missing SMILES		
draft_22951_00172		C5H7N3	6.107		missing SMILES		
draft_22951_00173		C9H11N5O3	6.112		missing SMILES		
draft_22951_00174		C5H6N2	6.117		missing SMILES		
draft_22951_00175		C6H14N2	6.127		missing SMILES		
draft_22951_00176		C8H9N3O	6.138		missing SMILES		
draft_22951_00177		C12H11NO2	6.158		missing SMILES		
draft_22951_00178		C7H15N3O	6.1615		missing SMILES		
draft_22951_00179		C5H7N3	6.179		missing SMILES		
draft_22951_00180		C8H9NO2	6.191999999999999		missing SMILES		
draft_22951_00181		C11H13NO4	6.193		missing SMILES		
draft_22951_00182		C5H12N2	6.22		missing SMILES		
draft_22951_00183		C6H9N3O2	6.221500000000001		missing SMILES		
draft_22951_00184		C8H10N2O	6.251		missing SMILES		
draft_22951_00185		C6H15NO	6.254		missing SMILES		
draft_22951_00186		C6H7N	6.2620000000000005		missing SMILES		
draft_22951_00187		C6H13NO	6.263999999999999		missing SMILES		
draft_22951_00188		C7H9NO	6.282		missing SMILES		
draft_22951_00189		C8H9N3O	6.2935		missing SMILES		
draft_22951_00190		C5H6N2	6.304		missing SMILES		
draft_22951_00191		C6H13N5O	6.324		missing SMILES		
draft_22951_00192		C5H7N3	6.324		missing SMILES		
draft_22951_00193		C10H11NO4	6.324		missing SMILES		
draft_22951_00194		C12H14N2O4	6.324		missing SMILES		
draft_22951_00195		C4H9NO2	6.337999999999999		missing SMILES		
draft_22951_00196		C4H11N	6.345		missing SMILES		
draft_22951_00197		C7H15NO	6.354		missing SMILES		
draft_22951_00198		C6H7N5O	6.3585		missing SMILES		
draft_22951_00199		C6H15NO	6.364		missing SMILES		
draft_22951_00200		C5H9N	6.375		missing SMILES		
draft_22951_00201		C4H10N2	6.376		missing SMILES		
draft_22951_00202		C12H12N2O2	6.376		missing SMILES		
draft_22951_00203		C6H6N2	6.386		missing SMILES		
draft_22951_00205		C10H12N2O3	6.395		missing SMILES		
draft_22951_00206		C11H13NO2	6.415		missing SMILES		
draft_22951_00208		C13H9NO4	6.417		missing SMILES		
draft_22951_00209		C6H15N3	6.425		missing SMILES		
draft_22951_00210		C4H6N4S	6.425		missing SMILES		
draft_22951_00211		C7H17NO	6.426		missing SMILES		
draft_22951_00212		C7H7NO3	6.4270000000000005		missing SMILES		
draft_22951_00213		C6H8N2	6.4350000000000005		missing SMILES		
draft_22951_00214		C7H9N	6.458		missing SMILES		
draft_22951_00215		C7H9NO2	6.467		missing SMILES		
draft_22951_00217		C5H12N2	6.479		missing SMILES		
draft_22951_00218		C5H12N2	6.479		missing SMILES		
draft_22951_00219		C7H18N	6.481		missing SMILES		
draft_22951_00220		C9H18N2O	6.486000000000001		missing SMILES		
draft_22951_00221		C5H13N3	6.489999999999999		missing SMILES		
draft_22951_00222		C6H14N2	6.489999999999999		missing SMILES		
draft_22951_00223		C2H5N3S2	6.496		missing SMILES		
draft_22951_00224		C8H12N4O	6.496		missing SMILES		
draft_22951_00225		C7H8N2O	6.5		missing SMILES		
draft_22951_00226		C7H8N4O2	6.5035		missing SMILES		
draft_22951_00227		C4H12N2	6.510000000000001		missing SMILES		
draft_22951_00228		C3H10N2	6.510000000000001		missing SMILES		
draft_22951_00229		C4H12N2	6.510000000000001		missing SMILES		
draft_22951_00230		C5H11N	6.510000000000001		missing SMILES		
draft_22951_00231		C7H10N2	6.511		missing SMILES		
draft_22951_00232		C7H15N	6.521		missing SMILES		
draft_22951_00233		C7H11N3O2S	6.531000000000001		missing SMILES		
draft_22951_00234		C10H11NO2	6.5360000000000005		missing SMILES		
draft_22951_00235		C6H8N2	6.541		missing SMILES		
draft_22951_00236		C6H8N2	6.541		missing SMILES		
draft_22951_00237		C9H18N2O	6.546		missing SMILES		
draft_22951_00238		C6H14N2	6.5520000000000005		missing SMILES		
draft_22951_00239		C8H10N2S	6.5520000000000005		missing SMILES		
draft_22951_00240		C8H6N2O2	6.557		missing SMILES		
draft_22951_00241		C8H10N2O	6.5595		missing SMILES		
draft_22951_00242		C8H7N3	6.562		missing SMILES		
draft_22951_00243		C5H14N2	6.583		missing SMILES		
draft_22951_00244		C8H7N3O	6.587000000000001		missing SMILES		
draft_22951_00245		C23H27NO9	6.593		missing SMILES		
