id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6	comment
draft_22951_00028		C6H13N3O3	1.7094999999999998	C(C[C@@H](C(=O)O)N)CNC(=O)N	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1	RHGKLRLOHDJJDR-BYPYZUCNSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Amino acids, peptides, and analogues (CHEMONTID:0000013)	Amino acids and derivatives (CHEMONTID:0000347)	Alpha amino acids and derivatives (CHEMONTID:0000060)	
draft_22951_00029		C11H16N2O8P	1.777	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)N	InChI=1S/C11H15N2O8P/c12-10(16)6-2-1-3-13(4-6)11-9(15)8(14)7(21-11)5-20-22(17,18)19/h1-4,7-9,11,14-15H,5H2,(H3-,12,16,17,18,19)/p+1/t7-,8-,9-,11-/m1/s1	DAYLJWODMCOQEW-TURQNECASA-O	Organic compounds (CHEMONTID:0000000)	Nucleosides, nucleotides, and analogues (CHEMONTID:0000289)	Pyridine nucleotides (CHEMONTID:0001297)	Nicotinamide nucleotides (CHEMONTID:0001268)	NA (NA)	NA (NA)	
draft_22951_00032		C4H10N4O4	1.944	[C@H]([C@@H](C(=O)NN)O)(C(=O)NN)O	InChI=1S/C4H10N4O4/c5-7-3(11)1(9)2(10)4(12)8-6/h1-2,9-10H,5-6H2,(H,7,11)(H,8,12)/t1-,2-/m0/s1	MDJZGXRFYKPSIM-LWMBPPNESA-N	Organic compounds (CHEMONTID:0000000)	Organic oxygen compounds (CHEMONTID:0004603)	Organooxygen compounds (CHEMONTID:0000323)	Carbohydrates and carbohydrate conjugates (CHEMONTID:0000011)	Monosaccharides (CHEMONTID:0001540)	NA (NA)	
draft_22951_00056		C6H13NO5	2.766	C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O	InChI=1S/C6H13NO5/c7-3(1-8)5(11)6(12)4(10)2-9/h1,3-6,9-12H,2,7H2/t3-,4+,5+,6+/m0/s1	FZHXIRIBWMQPQF-SLPGGIOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic oxygen compounds (CHEMONTID:0004603)	Organooxygen compounds (CHEMONTID:0000323)	Carbohydrates and carbohydrate conjugates (CHEMONTID:0000011)	Monosaccharides (CHEMONTID:0001540)	Hexoses (CHEMONTID:0001498)	
draft_22951_00062		C5H11NO2	2.859	CC(C)[C@H](C(=O)O)N	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m1/s1	KZSNJWFQEVHDMF-SCSAIBSYSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Amino acids, peptides, and analogues (CHEMONTID:0000013)	Amino acids and derivatives (CHEMONTID:0000347)	Alpha amino acids and derivatives (CHEMONTID:0000060)	
draft_22951_00063		C4H9NO2	2.896	C[C@@H](C(=O)N)OC	InChI=1S/C4H9NO2/c1-3(7-2)4(5)6/h3H,1-2H3,(H2,5,6)/t3-/m0/s1	WOGXHNJBKGZMHV-VKHMYHEASA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	Primary carboxylic acid amides (CHEMONTID:0001662)	
draft_22951_00070		C4H7NO2	3.1075	C1COC(=O)[C@H]1N	InChI=1S/C4H7NO2/c5-3-1-2-7-4(3)6/h3H,1-2,5H2/t3-/m0/s1	QJPWUUJVYOJNMH-VKHMYHEASA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Amino acids, peptides, and analogues (CHEMONTID:0000013)	Amino acids and derivatives (CHEMONTID:0000347)	Alpha amino acids and derivatives (CHEMONTID:0000060)	
draft_22951_00155		C5H11N	5.962000000000001	C[C@@H]1CCCN1	InChI=1S/C5H11N/c1-5-3-2-4-6-5/h5-6H,2-4H2,1H3/t5-/m1/s1	RGHPCLZJAFCTIK-RXMQYKEDSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyrrolidines (CHEMONTID:0000218)	NA (NA)	NA (NA)	NA (NA)	
draft_22951_00158		C5H9NO	5.981	CN(C)/C=C/C=O	InChI=1S/C5H9NO/c1-6(2)4-3-5-7/h3-5H,1-2H3/b4-3+	RRLMPLDPCKRASL-ONEGZZNKSA-N	Organic compounds (CHEMONTID:0000000)	Organic oxygen compounds (CHEMONTID:0004603)	Organooxygen compounds (CHEMONTID:0000323)	Carbonyl compounds (CHEMONTID:0001831)	Alpha,beta-unsaturated carbonyl compounds (CHEMONTID:0003131)	Alpha,beta-unsaturated aldehydes (CHEMONTID:0002433)	
draft_22951_00204		C12H22NO	6.386	C[N+]12CCC(CC1)[C@@H]3[C@H]2CC[C@@H](C3)O	InChI=1S/C12H22NO/c1-13-6-4-9(5-7-13)11-8-10(14)2-3-12(11)13/h9-12,14H,2-8H2,1H3/q+1/t9?,10-,11+,12+,13?/m0/s1	IHNCXGJYZVYTBQ-CEPARRHRSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Quinolidines (CHEMONTID:0003787)	NA (NA)	NA (NA)	NA (NA)	
