id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0392_00001			12.07			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O							
0392_00002			15.99			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O							
0392_00003			8.675			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O							
0392_00004			7.75			C1=C(C=C(C=C1O)O)C(=O)O							
0392_00005			10.6			C1=CC(=CC=C1C(=O)O)O							
0392_00006			14.2			C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O							
0392_00007			8.53			C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O							
0392_00008			18.42			C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O							
0392_00009			20.37			C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O							
0392_00010			20.34			C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O							
0392_00011			15.55			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O							
0392_00012			12.19			C1=CC(=O)OC2=CC(=C(C=C21)O)O							
0392_00013			11.84			COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O							
0392_00014			12.6			COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O							
0392_00015			21.13			COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O							
0392_00016			20.53			COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O							
0392_00017			20.59			CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O							
0392_00018			17.61			COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O							
0392_00019			20.285			C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O							
0392_00020			20.49			CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O							
0392_00021			19.73			C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O							
0392_00022			10.73			COC(=O)C1=CC(=C(C(=C1)O)O)O							
0392_00023			20.46			C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O							
