name	formula	rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric	
epicatechin	C15H14O6	12.07		12301_00001	1203	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O		
epicatechin gallate	C22H18O10	15.99		12301_00002	367141	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O		
gallocatechin	C15H14O7	8.675		12301_00003	1249	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O		
3,5-dihydroxybenzoic acid	C7H6O4	7.75		12301_00004	7424	C1=C(C=C(C=C1O)O)C(=O)O		
4-hydroxybenzoic acid	C7H6O3	10.6		12301_00005	135	C1=CC(=CC=C1C(=O)O)O		
astringin	C20H22O9	14.2		12301_00006	5089891	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O		
caftaric acid	C13H12O9	8.53		12301_00007	53398694	C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O		
cis-piceid	C20H22O8	18.42		12301_00008	393787	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O		
cis-resveratrol	C14H12O3	20.37		12301_00009	5056	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O		
ellagic acid	C14H6O8	20.34		12301_00010	5281855	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O		
epiafzelechin	C15H14O5	15.55		12301_00011	282014	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O		
esculetin	C9H6O4	12.19		12301_00012	5281416	C1=CC(=O)OC2=CC(=C(C=C21)O)O		
fertaric acid	C14H14O9	11.84		12301_00013	69501207	COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O		
fraxin	C16H18O10	12.6		12301_00014	5909448	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O		
hesperetin	C16H14O6	21.13		12301_00015	3593	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O		
isorhamnetin 3-glucoside	C22H22O12	20.53		12301_00016	13245586	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O		
isorhamnetin 3-rutinoside	C28H32O16	20.59		12301_00017	6223069	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O		
isorhapontin	C21H24O9	17.61		12301_00018	5090283	COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O		
kaempferol 3-glucoside	C21H20O11	20.285		12301_00019	5462193	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O		
kaempferol 3-rutinoside	C27H30O15	20.49		12301_00020	12313332	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O		
luteolin 7-glucoside	C21H20O11	19.73		12301_00021	5291488	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O		
methyl gallate	C8H8O5	10.73		12301_00022	7428	COC(=O)C1=CC(=C(C(=C1)O)O)O		
