name	formula	rt	id	pubchem.smiles.canonical	
epicatechin	C15H14O6	12.07	27014_00001	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	
epicatechin gallate	C22H18O10	15.99	27014_00002	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
gallocatechin	C15H14O7	8.675	27014_00003	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	
3,5-dihydroxybenzoic acid	C7H6O4	7.75	27014_00004	C1=C(C=C(C=C1O)O)C(=O)O	
4-hydroxybenzoic acid	C7H6O3	10.6	27014_00005	C1=CC(=CC=C1C(=O)O)O	
astringin	C20H22O9	14.2	27014_00006	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
caftaric acid	C13H12O9	8.53	27014_00007	C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O	
cis-piceid	C20H22O8	18.42	27014_00008	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
cis-resveratrol	C14H12O3	20.37	27014_00009	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	
ellagic acid	C14H6O8	20.34	27014_00010	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	
epiafzelechin	C15H14O5	15.55	27014_00011	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O	
esculetin	C9H6O4	12.19	27014_00012	C1=CC(=O)OC2=CC(=C(C=C21)O)O	
fertaric acid	C14H14O9	11.84	27014_00013	COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
fraxin	C16H18O10	12.6	27014_00014	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O	
hesperetin	C16H14O6	21.13	27014_00015	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O	
isorhamnetin 3-glucoside	C22H22O12	20.53	27014_00016	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	
isorhamnetin 3-rutinoside	C28H32O16	20.59	27014_00017	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O	
isorhapontin	C21H24O9	17.61	27014_00018	COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
kaempferol 3-glucoside	C21H20O11	20.285	27014_00019	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	
kaempferol 3-rutinoside	C27H30O15	20.49	27014_00020	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	
luteolin 7-glucoside	C21H20O11	19.73	27014_00021	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O	
methyl gallate	C8H8O5	10.73	27014_00022	COC(=O)C1=CC(=C(C(=C1)O)O)O	
myricetin	C15H10O8	20.46	27014_00023	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	
naringenin	C15H12O5	21.04	27014_00024	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	
naringenin 7-glucoside	C21H22O10	19.53	27014_00025	C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O	
o-coumaric acid	C9H8O3	19.73	27014_00026	C1=CC=C(C(=C1)C=CC(=O)O)O	
oxovitisin A	C25H24O13	20.67482759	27014_00027	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O	
pallidol	C28H22O6	17.57	27014_00028	C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O	
phloridzin	C21H24O10	20.21	27014_00029	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
phloretin	C15H14O5	21.06	27014_00030	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	
piceatanol	C14H12O4	17.88	27014_00031	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O	
procyanidin B1	C30H26O12	9.66	27014_00032	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	
pterostilbene	C16H16O3	21.89	27014_00033	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC	
quercetin 3,4'-diglucoside	C27H30O17	17.38	27014_00034	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	
quercetin 3-glucuronide	C21H18O13	19.91	27014_00035	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O	
quercetin 4'-glucoside	C21H20O12	20.37	27014_00036	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	
quercetin 3-sulfate	C15H10O10S	20.11	27014_00037	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O	
quercetin 3-glucoside	C21H20O12	20	27014_00038	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O	
quercetin 3-rutinoside	C27H30O16	20	27014_00039	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	
syringic acid	C9H10O5	13.78	27014_00040	COC1=CC(=CC(=C1O)OC)C(=O)O	
taxifolin	C15H12O7	16.82	27014_00041	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	
trans coutaric acid	C13H12O8	10.7	27014_00042	C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
trans-ÃÂµ-viniferin	C21H24O10	20.75625	27014_00043	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O	
trilobatin	C17H14O7	20.59	27014_00044	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O	
rhamnazin	C27H32O14	21.96	27014_00045	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	
phenacetin	C10H13NO2	19.35	27014_00046	CCOC1=CC=C(C=C1)NC(=O)C	
naringin	C7H12O7	19.86	27014_00047	COC1C(C(C(C(O1)C(=O)O)O)O)O	
methyl-glucuronide	C11H14O5	2.43	27014_00048	COC(=O)C1=COC(C2C1CC=C2CO)O	
genipin	C11H14O5	16.06	27014_00049	COC(=O)C1=COC(C2C1CC=C2CO)O	
vitisin A	C26H25O14	19.30034483	27014_00050	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O	
vitisin B	C56H42O12	18.3487931	27014_00051	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	
methylpyrano malvidin 3-glucoside		19.74327586	27014_00052		
epigallo-catechin gallate	C22H18O11	12.73	27014_00053	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
3,4-dihydroxybenzoic acid	C7H6O4	7.77	27014_00054	C1=CC(=C(C=C1C(=O)O)O)O	
caffeic acid+catechin condensation product	C24H20O9	17.82	27014_00055	C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O	
ethyl gallate 	C9H10O5	15.16	27014_00056	CCOC(=O)C1=CC(=C(C(=C1)O)O)O	
