name	formula	rt	id	pubchem.smiles.isomeric	pubchem.smiles.canonical	
epicatechin	C15H14O6	12.07	33044_00001		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	
epicatechin gallate	C22H18O10	15.99	33044_00002		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
gallocatechin	C15H14O7	8.675	33044_00003		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	
3,5-dihydroxybenzoic acid	C7H6O4	7.75	33044_00004		C1=C(C=C(C=C1O)O)C(=O)O	
4-hydroxybenzoic acid	C7H6O3	10.6	33044_00005		C1=CC(=CC=C1C(=O)O)O	
astringin	C20H22O9	14.2	33044_00006		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
caftaric acid	C13H12O9	8.53	33044_00007		C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O	
cis-piceid	C20H22O8	18.42	33044_00008		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
cis-resveratrol	C14H12O3	20.37	33044_00009		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	
ellagic acid	C14H6O8	20.34	33044_00010		C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	
epiafzelechin	C15H14O5	15.55	33044_00011		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O	
esculetin	C9H6O4	12.19	33044_00012		C1=CC(=O)OC2=CC(=C(C=C21)O)O	
fertaric acid	C14H14O9	11.84	33044_00013		COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
fraxin	C16H18O10	12.6	33044_00014		COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O	
hesperetin	C16H14O6	21.13	33044_00015		COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O	
