name	rt	id	pubchem.smiles.isomeric	pubchem.smiles.canonical	
epicatechin	12.07	41647_00001		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	
epicatechin gallate	15.99	41647_00002		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
gallocatechin	8.675	41647_00003		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	
3,5-dihydroxybenzoic acid	7.75	41647_00004		C1=C(C=C(C=C1O)O)C(=O)O	
4-hydroxybenzoic acid	10.6	41647_00005		C1=CC(=CC=C1C(=O)O)O	
astringin	14.2	41647_00006		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
caftaric acid	8.53	41647_00007		C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O	
cis-piceid	18.42	41647_00008		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
cis-resveratrol	20.37	41647_00009		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	
ellagic acid	20.34	41647_00010		C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	
epiafzelechin	15.55	41647_00011		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O	
esculetin	12.19	41647_00012		C1=CC(=O)OC2=CC(=C(C=C21)O)O	
fertaric acid	11.84	41647_00013		COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
fraxin	12.6	41647_00014		COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O	
hesperetin	21.13	41647_00015		COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O	
isorhamnetin 3-glucoside	20.53	41647_00016		COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	
isorhamnetin 3-rutinoside	20.59	41647_00017		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O	
isorhapontin	17.61	41647_00018		COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	
kaempferol 3-glucoside	20.285	41647_00019		C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O	
kaempferol 3-rutinoside	20.49	41647_00020		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	
luteolin 7-glucoside	19.73	41647_00021		C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O	
methyl gallate	10.73	41647_00022		COC(=O)C1=CC(=C(C(=C1)O)O)O	
myricetin	20.46	41647_00023		C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	
naringenin	21.04	41647_00024		C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	
naringenin 7-glucoside	19.53	41647_00025		C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O	
o-coumaric acid	19.73	41647_00026		C1=CC=C(C(=C1)C=CC(=O)O)O	
oxovitisin A	20.67482759	41647_00027	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O	
pallidol	17.57	41647_00028		C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O	
phloridzin	20.21	41647_00029		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O	
phloretin	21.06	41647_00030		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	
piceatanol	17.88	41647_00031		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O	
procyanidin B1	9.66	41647_00032		C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	
pterostilbene	21.89	41647_00033		COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC	
quercetin 3,4'-diglucoside	17.38	41647_00034		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	
quercetin 3-glucuronide	19.91	41647_00035		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O	
quercetin 4'-glucoside	20.37	41647_00036		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	
quercetin 3-sulfate	20.11	41647_00037		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O	
quercetin 3-glucoside	20	41647_00038		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O	
quercetin 3-rutinoside	20	41647_00039		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	
syringic acid	13.78	41647_00040		COC1=CC(=CC(=C1O)OC)C(=O)O	
taxifolin	16.82	41647_00041		C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	
trans coutaric acid	10.7	41647_00042		C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O	
trans-ÃÂµ-viniferin	20.75625	41647_00043		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O	
trilobatin	20.59	41647_00044		COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O	
rhamnazin	21.96	41647_00045		CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O	
phenacetin	19.35	41647_00046		CCOC1=CC=C(C=C1)NC(=O)C	
naringin	19.86	41647_00047		COC1C(C(C(C(O1)C(=O)O)O)O)O	
methyl-glucuronide	2.43	41647_00048		COC(=O)C1=COC(C2C1CC=C2CO)O	
genipin	16.06	41647_00049		COC(=O)C1=COC(C2C1CC=C2CO)O	
vitisin A	19.30034483	41647_00050	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O	
vitisin B	18.3487931	41647_00051	C1=CC(=CC=C1[C@@H]2[C@H](C3=C(C=C(C=C3O2)O)/C=C/C4=CC5=C(C=C4)O[C@H]([C@@H]5C6=C7[C@@H]([C@H](OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O	
methylpyrano malvidin 3-glucoside	19.74327586	41647_00052			
epigallo-catechin gallate	12.73	41647_00053		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	
3,4-dihydroxybenzoic acid	7.77	41647_00054		C1=CC(=C(C=C1C(=O)O)O)O	
caffeic acid+catechin condensation product	17.82	41647_00055		C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O	
ethyl gallate 	15.16	41647_00056		CCOC(=O)C1=CC(=C(C(=C1)O)O)O	
isohopeaphenol	10.7	41647_00057		C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O	
L-Arginine	1.2425	41647_00058		C(CC(C(=O)O)N)CN=C(N)N	
L-tartaric acid	1.46	41647_00059		C(C(C(=O)O)O)(C(=O)O)O	
quinic acid	1.58	41647_00060		C1C(C(C(CC1(C(=O)O)O)O)O)O	
succinic acid	3.94	41647_00061		C(CC(=O)O)C(=O)O	
proprionic acid	3.95	41647_00062		CCC(=O)O	
citramalic acid	4.02	41647_00063		CC(CC(=O)O)(C(=O)O)O	
L-tyrosine	4.28	41647_00064		C1=CC(=CC=C1CC(C(=O)O)N)O	
L-isoleucine	4.44	41647_00065		CCC(C)C(C(=O)O)N	
choline	1.294827586	41647_00066		C[N+](C)(C)CCO	
betaine	1.340862069	41647_00067		C[N+](C)(C)CC(=O)[O-]	
L-valine	1.340862069	41647_00068		CC(C)C(C(=O)O)N	
L-proline	1.510344828	41647_00069		C1CC(NC1)C(=O)O	
L-glutathione	1.696551724	41647_00070		C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	
uracil	2.337068966	41647_00071		C1=CNC(=O)NC1=O	
uric acid	3.442586207	41647_00072		C12=C(NC(=O)N1)NC(=O)NC2=O	
xanthine	3.966206897	41647_00073		C1=NC2=C(N1)C(=O)NC(=O)N2	
