formula	rt	name	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric	pubchem.cid	pubchem.inchikey	Unnamed: 9
C15H14O6	12.07	epicatechin		46988_00001	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O		1203	PFTAWBLQPZVEMU-UHFFFAOYSA-N	
C22H18O10	15.99	epicatechin gallate		46988_00002	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O		367141	LSHVYAFMTMFKBA-UHFFFAOYSA-N	
C15H14O7	8.675	gallocatechin		46988_00003	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O		1249	XMOCLSLCDHWDHP-UHFFFAOYSA-N	
C7H6O4	7.75	3,5-dihydroxybenzoic acid		46988_00004	C1=C(C=C(C=C1O)O)C(=O)O		7424	UYEMGAFJOZZIFP-UHFFFAOYSA-N	
C7H6O3	10.6	4-hydroxybenzoic acid		46988_00005	C1=CC(=CC=C1C(=O)O)O		135	FJKROLUGYXJWQN-UHFFFAOYSA-N	
C20H22O9	14.2	astringin		46988_00006	C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O		5089891	PERPNFLGJXUDDW-UHFFFAOYSA-N	
C13H12O9	8.53	caftaric acid		46988_00007	C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O		53398694	SWGKAHCIOQPKFW-UHFFFAOYSA-N	
C20H22O8	18.42	cis-piceid		46988_00008	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O		393787	HSTZMXCBWJGKHG-UHFFFAOYSA-N	
C14H12O3	20.37	cis-resveratrol		46988_00009	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O		5056	LUKBXSAWLPMMSZ-UHFFFAOYSA-N	
C14H6O8	20.34	ellagic acid		46988_00010	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O		5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	
C15H14O5	15.55	epiafzelechin		46988_00011	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O		282014	RSYUFYQTACJFML-UHFFFAOYSA-N	
C9H6O4	12.19	esculetin		46988_00012	C1=CC(=O)OC2=CC(=C(C=C21)O)O		5281416	ILEDWLMCKZNDJK-UHFFFAOYSA-N	
C14H14O9	11.84	fertaric acid		46988_00013	COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O		69501207	XIWXUSFCUBAMFH-UHFFFAOYSA-N	
