name	formula	rt	id	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchikey	
epicatechin	C15H14O6	12.07	47452_00001	1203		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	PFTAWBLQPZVEMU-UHFFFAOYSA-N	
epicatechin gallate	C22H18O10	15.99	47452_00002	367141		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	LSHVYAFMTMFKBA-UHFFFAOYSA-N	
gallocatechin	C15H14O7	8.675	47452_00003	1249		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	XMOCLSLCDHWDHP-UHFFFAOYSA-N	
3,5-dihydroxybenzoic acid	C7H6O4	7.75	47452_00004	7424		C1=C(C=C(C=C1O)O)C(=O)O	UYEMGAFJOZZIFP-UHFFFAOYSA-N	
4-hydroxybenzoic acid	C7H6O3	10.6	47452_00005	135		C1=CC(=CC=C1C(=O)O)O	FJKROLUGYXJWQN-UHFFFAOYSA-N	
astringin	C20H22O9	14.2	47452_00006	5089891		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	PERPNFLGJXUDDW-UHFFFAOYSA-N	
caftaric acid	C13H12O9	8.53	47452_00007	53398694		C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O	SWGKAHCIOQPKFW-UHFFFAOYSA-N	
cis-piceid	C20H22O8	18.42	47452_00008	393787		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	HSTZMXCBWJGKHG-UHFFFAOYSA-N	
cis-resveratrol	C14H12O3	20.37	47452_00009	5056		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	LUKBXSAWLPMMSZ-UHFFFAOYSA-N	
ellagic acid	C14H6O8	20.34	47452_00010	5281855		C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	AFSDNFLWKVMVRB-UHFFFAOYSA-N	
