id	rt	comment	pubchem.smiles.canonical	pubchem.smiles.isomeric	Unnamed: 5	name	formula	pubchem.cid	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	id.kegg
53294_00001	12.07		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O												
53294_00002	15.99		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O												
53294_00003	8.675		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O												
53294_00004	7.75		C1=C(C=C(C=C1O)O)C(=O)O												
53294_00005	10.6		C1=CC(=CC=C1C(=O)O)O												
53294_00006	14.2		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O												
53294_00007	8.53		C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O												
53294_00008	18.42		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O												
53294_00009	20.37		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O												
53294_00010	20.34		C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O												
53294_00011	15.55		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O												
53294_00012	12.19		C1=CC(=O)OC2=CC(=C(C=C21)O)O												
53294_00013	11.84		COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O												
53294_00014	12.6		COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O												
53294_00015	21.13		COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O												
53294_00016	20.53		COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O												
53294_00017	20.59		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O												
53294_00018	17.61		COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O												
53294_00019	20.285		C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O												
53294_00020	20.49		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O												
53294_00021	19.73		C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O												
53294_00022	10.73		COC(=O)C1=CC(=C(C(=C1)O)O)O												
53294_00023	20.46		C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O												
53294_00024	21.04		C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O												
53294_00025	19.53		C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O												
53294_00026	19.73		C1=CC=C(C(=C1)C=CC(=O)O)O												
53294_00027	20.67482759		COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O												
53294_00028	17.57		C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O												
53294_00029	20.21		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O												
53294_00030	21.06		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O												
53294_00031	17.88		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O												
53294_00032	9.66		C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O												
53294_00033	21.89		COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC												
53294_00034	17.38		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O												
53294_00035	19.91		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O												
53294_00036	20.37		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O												
53294_00037	20.11		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O												
53294_00038	20.0		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O												
53294_00039	20.0		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O												
53294_00040	13.78		COC1=CC(=CC(=C1O)OC)C(=O)O												
53294_00041	16.82		C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O												
53294_00042	10.7		C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O												
53294_00043	20.75625		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O												
53294_00044	20.59		COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O												
53294_00045	21.96		CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O												
53294_00046	19.35		CCOC1=CC=C(C=C1)NC(=O)C												
53294_00047	19.86		COC1C(C(C(C(O1)C(=O)O)O)O)O												
53294_00048	2.43	doublet	COC(=O)C1=COC(C2C1CC=C2CO)O												
53294_00049	16.06	doublet	COC(=O)C1=COC(C2C1CC=C2CO)O												
53294_00050	19.30034483		COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O												
53294_00051	18.3487931		C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O												
53294_00052	12.73		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O												
53294_00053	7.77		C1=CC(=C(C=C1C(=O)O)O)O												
53294_00054	17.82		C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O												
53294_00055	15.16		CCOC(=O)C1=CC(=C(C(=C1)O)O)O												
53294_00056	10.7		C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O												
53294_00057	1.2425		C(CC(C(=O)O)N)CN=C(N)N												
53294_00058	1.46		C(C(C(=O)O)O)(C(=O)O)O												
53294_00059	1.58		C1C(C(C(CC1(C(=O)O)O)O)O)O												
53294_00060	3.94		C(CC(=O)O)C(=O)O												
53294_00061	3.95		CCC(=O)O												
53294_00062	4.02		CC(CC(=O)O)(C(=O)O)O												
53294_00063	4.28		C1=CC(=CC=C1CC(C(=O)O)N)O												
53294_00064	4.44		CCC(C)C(C(=O)O)N												
53294_00065	1.294827586		C[N+](C)(C)CCO												
53294_00066	1.340862069		C[N+](C)(C)CC(=O)[O-]												
53294_00067	1.340862069		CC(C)C(C(=O)O)N												
53294_00068	1.510344828		C1CC(NC1)C(=O)O												
53294_00069	1.696551724		C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N												
53294_00070	2.337068966		C1=CNC(=O)NC1=O												
53294_00071	3.442586207		C12=C(NC(=O)N1)NC(=O)NC2=O												
53294_00072	3.966206897		C1=NC2=C(N1)C(=O)NC(=O)N2												
