id	rt	comment	pubchem.smiles.isomeric	pubchem.smiles.canonical	name	formula	pubchem.cid	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	id.kegg
872_00001	12.07			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O										
872_00002	15.99			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O										
872_00003	8.675			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O										
872_00004	7.75			C1=C(C=C(C=C1O)O)C(=O)O										
872_00005	10.6			C1=CC(=CC=C1C(=O)O)O										
872_00006	14.2			C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O										
872_00007	8.53			C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O										
872_00008	18.42			C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O										
872_00009	20.37			C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O										
872_00010	20.34			C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O										
872_00011	15.55			C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O										
872_00012	12.19			C1=CC(=O)OC2=CC(=C(C=C21)O)O										
872_00013	11.84			COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O										
872_00014	12.6			COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O										
872_00015	21.13			COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O										
872_00016	20.53			COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O										
872_00017	20.59			CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O										
872_00018	17.61			COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O										
872_00019	20.285			C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O										
872_00020	20.49			CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O										
872_00021	19.73			C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O										
872_00022	10.73			COC(=O)C1=CC(=C(C(=C1)O)O)O										
872_00023	20.46			C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O										
872_00024	21.04			C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O										
872_00025	19.53			C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O										
872_00026	19.73			C1=CC=C(C(=C1)C=CC(=O)O)O										
872_00027	20.67482759		COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O										
872_00028	17.57			C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O										
872_00029	20.21			C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O										
872_00030	21.06			C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O										
872_00031	17.88			C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O										
